"Disable module","Schakel module uit"
"Unders","Onderliggend"
"Aboves","Bovenliggend"
"Force sorting","Forceer sortering"
"Force sorting on","Forceer sortering op"
"Sort direction when sorting is forced","Sorteerrichting wanneer sortering is geforceerd"
"Descending","Aflopend"
"Ascending","Oplopend"
"Price","Prijs"
"Name","Naam"
"Position","Positie"
"Number of products to show that fall below current products' position","Aantal producten om te laten zien onder positie van huidige product"
"Number of products to show that are above current products' position","Aantal producten om te laten zien boven positie van huidige product"
"If enabled, the products chosen will be based on a sorting by price instead of the user-defined sorting","Als deze ingeschakeld is worden de producten gekozen op basis van de geforceerde sortering"